Question,Answer
how a rocket engine works?,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet."
how are antibodies used in?,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses."
how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier.
how are public schools funded?,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation."
how can cholera and typhus be transmitted and prevented?,"Cholera and typhus transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms."
how did anne frank die?,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945."
how did armando christian perez become famous?,"Armando Christian Perez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer."
how did david carradine die?,"David carradine died on June 3, 2009, apparently of auto-erotic asphyxiation."
How did Edgar Allan Poe die?,"On October 7, 1849, at age 40, Edgar Allan Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents."
how did harmon killebrew get strong?,"With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance."
how did James Dean die?,James Dean's premature death in a car crash cemented his legendary status.
how did John F. Kennedy die?,"Kennedy was assassinated on November 22, 1963 in Dallas , Texas."
how did mohammed gandhi die?,Mohammed Gandhi was assassinated on 30 January 1948 by Nathuram Godse who thought Gandhi was too sympathetic to India's Muslims.
how did the penguins acquire sidney crosby?,Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League (QMJHL).
how did the vietnam war end?,"The capture of Saigon by the Vietnam People's Army in April 1975 marked the end of the war, and North and South Vietnam were reunified the following year."
how did wild bill's father die?,"Wild bill's father was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota )."
how did women's role change during the war?,"Whether it was on the home front or the front-lines, for civilian or enlisted women, the World Wars started a new era for women's opportunities to contribute in war and be recognized for efforts outside of the home."
how do insulin syringes work?,"Inside insulin syringes, the plunger can be pulled and pushed along inside a cylindrical tube (called a barrel), allowing the syringe to take in and expel a liquid or gas through an at the open end of the tube."
how do pineapples grow?,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months."
how do you know if something is the golden ratio?,"In mathematics and the arts , two quantities are in the golden ratio if the ratio of the sum of the quantities to the larger quantity is equal to the ratio of the larger quantity to the smaller one."
how does a solid state drive work?,Solid state drive uses an external power supply to make the DRAM non-volatile.
how does a steam engine work?,A steam engine is a heat engine that performs mechanical work using steam as its working fluid.
how does black pepper grow?,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning."
how does Delaware support its claim to being the first state?,"Delaware was one of the 13 colonies participating in the American Revolution and on December 7, 1787, became the first state to ratify the Constitution of the United States , thereby becoming known as The First State."
how does flexible spending account work?,"An FSA allows an employee to set aside a portion of earnings to pay for qualified expenses as established in the cafeteria plan, most commonly for medical expenses but often for dependent care or other expenses."
how does interlibrary loan work?,"Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library."
how does lsd impact the human body?,"Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture."
how does sedimentary rock form?,Sedimentary rocks are types of rock that are formed by the deposition of material at the Earth 's surface and within bodies of water.
how does weather happen?,Weather is driven by air pressure (temperature and moisture) differences between one place and another.
how fire extinguisher works?,"Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent."
How is a computer used?,A computer is a general purpose device that can be programmed to carry out a finite set of arithmetic or logical operations.
how is ASP.NET different from.NET?,ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages.
how is human height measured?,"Human height is the distance from the bottom of the feet to the top of the head in a human body , standing erect."
how is hydrogen produced?,Currently the dominant technology for direct production is steam reforming from hydrocarbons.
how is jerky made?,"Jerky is lean meat that has been trimmed of fat, cut into strips, and then dried to prevent spoilage."
how is public policy created?,Public policy is the principled guide to action taken by the administrative executive branches of the state with regard to a class of issues in a manner consistent with law and institutional customs.
how is rfid tag powered?,Some tags are powered and read at short ranges (a few meters) via magnetic fields ( electromagnetic induction ).
how is root beer made?,"Root beer is a carbonated , sweetened beverage , originally made using the root of a sassafras plant (or the bark of a sassafras tree) as the primary flavor."
how is schizophrenia diagnosed?,Diagnosis is based on observed behavior and the patient's reported experiences.
how is single malt scotch made?,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient."
how is slugging percentage calculated?,Slugging percentage is calculated as total bases divided by at bats.
How is the pothole formed?,"A pothole (sometimes called a kettle and known in parts of the Western United States as a chuckhole) is a type of disruption in the surface of a roadway where a portion of the road material has broken away, leaving a hole."
how is today special?,Today's Special is a Canadian children's television show produced by Clive VanderBurgh at TVOntario from 1981 to 1987.
how is whooping cough distinguished from similar diseases?,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing."
how jameson irish whiskey is made?,"Jameson is similar in its adherence to the single distillery principle to the single malt tradition, but Jameson blends column still spirit with Single pot still whiskey , a combination of malted barley with unmalted or ""green"" barley distilled in a pot still."
how long can you be in the supreme court?,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment."
how long did the roman empire last?,"The 500-year-old Roman Republic , which preceded it, had been destabilized through a series of civil wars."
how long have kanab ambersnail been endangered?,Kanab ambersnail has been listed as endangered on the United States Fish and Wildlife Service list of endangered species since 8 August 1991.
how long was frank sinatra famous?,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Frank Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943."
how long was i love lucy on the air?,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS)."
how long was iwo jima?,"The Battle of Iwo Jima (19 February – 26 March 1945), or Operation Detachment, was a major battle in which the United States Armed Forces fought for and captured the island of Iwo Jima from the Japanese Empire."
How long was Mickie James with WWE?,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year."
how long was richard nixon a president?,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office."
how many albums has dmx sold to this date?,"DMX has sold over 30 million records worldwide, making him one of the best-selling hip-hop artists of all time."
how many albums has eminem sold in his career?,"Eminem has sold more than 100 million records worldwide, including 42 million tracks and 49.1 million albums in the United States."
how many amendments in the US constitution?,"Twenty-seven amendments have been ratified since the original signing of the Constitution, the first ten of which are known collectively as the Bill of Rights."
how many amendments in us?,The Constitution has been amended seventeen additional times (for a total of twenty-seven amendments).
